Family,Genus,Species,Genus.Species,Registration number,mBd,Uj,Lj,Ed,Hd,PBd,TL,Bw,Mw,DFb,CFb,AFb,PelFb,Pfb,Perimeter
Labridae,Coris,picta,Coris_picta,P.004809,26.17,6.83,7.1,6.13,14.45,22.68,130,11.71,5.72,68.77,14.09,43.35,2.5,6.09,246
Labridae,Coris,sandeyeri,Coris_sandeyeri,P.049928,94.3,25.81,24.64,12.43,60.58,90.32,374,40.07,21.38,198.16,47.54,119.16,6.84,17.47,734
Macrouridae,Coryphaenoides,murrayi,Coryphaenoides_murrayi,P.046951,58.14,25.57,20.78,13.31,35.39,52.61,359,30.21,23.66,232,2,265,6.75,7.35,742
Macrouridae,Coryphaenoides,rudis,Coryphaenoides_rudis,P.039706,113.3,47.09,41.03,25.51,75.51,111.5,641,70.18,54.3,466,1.76,436,11.14,15.65,1295
Macrouridae,Coryphaenoides,serrulatus,Coryphaenoides_serrulatus,P.037130,91.53,33.45,31.41,25.65,47.29,85.87,438,45.73,35.07,287.54,1.6,313,5.85,10.68,905
Macrouridae,Coryphaenoides,subserrulatus,Coryphaenoides_subserrulatus,P.021692,47.38,26.47,24.84,17.24,29.26,44.89,298,23.38,17.01,200,1,212,4.98,5.41,563
Cyttidae,Cyttus,novaezealandiae,Cyttus_novaezealandiae,P.052391,66.13,19.01,17.41,14.55,44.75,60.73,136,12.37,7.46,62,18,55,3.44,4.46,294
Synaphobranchidae,Diastobranchus,capensis,Diastobranchus_capensis,P.044025,75.45,108.53,108.71,21.94,42.31,70.44,1102,34.63,25.36,NA,1538,NA,NA,17.75,2170
Echeneidae,Echeneis,naucrates,Echeneis_naucrates,P.037943,45.32,26.72,33.47,10.71,24.02,36.88,453,48.31,35.28,174,29,171,9.64,17.67,836
Serranidae,Epinephelus,daemelii,Epinephelus_daemelii,P.046364,155,91,78.79,21,90,152,556,81,54,259,67,72,13,36,1265
Lutjanidae,Etelis,coruscans,Etelis_coruscans,P.034455,178.43,73.45,77.93,46.1,111.33,172.72,671,84,64.87,290,126,84,23.5,31.71,1407
Tripterygiidae,Forsterygion,flavonigrum,Forsterygion_flavonigrum,P.053907,11.22,5.45,5.53,4.97,10.45,10.74,64,12.97,7.44,32.04,7.39,29.09,1.12,5.27,125
Tripterygiidae,Forsterygion,maryannae,Forsterygion_maryannae,P.028344,9.77,5.21,4.83,3.9,9.19,8.68,58,8.18,4.9,38,5.37,27,1.25,4.51,113
Bathygadidae,Gadomus,aoteanus,Gadomus_aoteanus,P.023310,43.48,30.97,38.84,12.14,28.07,42.27,337,24.95,20.3,13.05,510,NA,4.89,6.23,708
Ophidiidae,Genypterus,blacodes,Genypterus_blacodes,P.044057,152.61,106.47,98.47,28.57,86.79,133.73,1044,104.11,91.91,NA,1188,NA,NA,33.3,2021
Girellidae,Girella,cyanea,Girella_cyanea,P.050060,79.97,13.79,10.97,11.85,44.91,72.67,216.02,31.46,18.38,112,29.05,38.29,7.17,12.25,462
Congridae,Gorgasia,japonica,Gorgasia_japonica,P.035166,9.41,10.58,9.86,5.59,9.22,12.24,685,7.25,7.43,NA,NA,NA,NA,2.44,NA
Muraenidae,Gymnothorax,berndti,Gymnothorax_berndti,P.034433,52.48,40.6,42.38,8.22,23.45,NA,605,26.58,17.4,NA,978,NA,NA,NA,1396
Muraenidae,Gymnothorax,nubilus,Gymnothorax_nubilus,AK655313,27.03,23.04,21,4.66,13.14,NA,428,14.98,8.68,NA,628,NA,NA,NA,782
Muraenidae,Gymnothorax,porphyreus,Gymnothorax_porphyreus,AK655399,20.7,15.47,16.22,3.3,11.46,NA,333.2,10.53,6.94,NA,451,NA,NA,NA,NA
Muraenidae,Gymnothorax,prasinus,Gymnothorax_prasinus,P.044073,49.14,40.68,37.02,5.15,26.25,NA,709,27.61,17.68,NA,991,NA,NA,NA,1422
Muraenidae,Gymnothorax,prionodon,Gymnothorax_prionodon,P.004867,71.11,56.21,55.56,8.98,32.1,NA,863,38.64,23.75,NA,1209,NA,NA,NA,1721
Halosauridae,Halosaurus,pectoralis,Halosaurus_pectoralis,MA4287,17.59,15.03,14.95,7.58,16.27,15.7,439,11.45,7.08,14.19,1,283,4.06,5.11,885
Sebastidae,Helicolenus,barathri,Helicolenus_barathri,P.047352,100.9,64,52.84,37.57,63.23,98.05,354,65.4,54.81,175,33.94,37,11.27,36.93,649
Sebastidae,Helicolenus,percoides,Helicolenus_percoides,P.047376,83,51,45.62,27,57,81,283,50,38,150,30,28,13,32,655
Trachichthyidae,Hoplostethus,atlanticus,Hoplostethus_atlanticus,P.030202,145.31,77,67.18,31.2,116.83,144.97,389,63.14,49.48,139,74,69,12.4,19.25,856
